context,object_category,emotion,hex,r,g,b,saturation,brightness,mood_score
foggy mountain trail,underground,excited,#D0143F,208,20,63,0.39,0.8,0.5
mossy cave,artificial-light,intense,#9E2849,158,40,73,0.87,0.11,0.49
neon arcade room,concrete,intense,#42C1AA,66,193,170,0.32,0.57,0.82
enchanted garden,cyber,intense,#E2DB36,226,219,54,0.43,0.74,0.69
sunrise beach,coast,serene,#D811A2,216,17,162,0.33,0.37,0.94
quiet meadow,artificial-light,dark,#173227,23,50,39,0.75,0.24,0.64
ancient temple,coast,energetic,#DBBB2B,219,187,43,0.12,0.73,0.53
quiet meadow,cave,warm,#40829B,64,130,155,0.7,0.24,0.95
desert highway,market,dark,#A5BCF4,165,188,244,0.88,0.58,0.53
old library,sand,playful,#D492C3,212,146,195,0.41,0.93,0.81
crystal cavern,urban,excited,#7AB95A,122,185,90,0.86,0.96,0.96
desert highway,garden,energetic,#069DF1,6,157,241,0.2,0.82,0.46
sunrise beach,concrete,peaceful,#FD30D9,253,48,217,0.39,0.35,0.52
abandoned railway,underground,intense,#D1B653,209,182,83,0.6,0.56,0.9
quiet meadow,underground,calm,#DBBBB7,219,187,183,0.3,0.34,0.67
futuristic lab,wood,serene,#EF3B7D,239,59,125,0.52,0.48,0.73
quiet meadow,market,excited,#2D966F,45,150,111,0.21,0.54,0.38
sunrise beach,crystal,excited,#147D8F,20,125,143,0.78,0.81,0.53
quiet meadow,lab,focused,#581EE4,88,30,228,0.43,0.85,0.53
mossy cave,underground,mysterious,#2D6398,45,99,152,0.63,0.63,0.65
dilapidated warehouse,garden,melancholic,#35CA35,53,202,53,0.83,0.56,0.59
neon arcade room,urban,playful,#EA93D1,234,147,209,0.77,0.48,0.42
rainy night market,fog/mist,romantic,#64E994,100,233,148,0.26,0.75,0.82
abandoned railway,artificial-light,peaceful,#3BED2D,59,237,45,0.57,0.58,0.86
abandoned railway,metal/rust,focused,#D2C0BE,210,192,190,0.76,0.22,0.36
abandoned railway,grassland,mysterious,#F3ECAA,243,236,170,0.27,0.96,0.7
desert highway,wood,warm,#0F6632,15,102,50,0.58,0.3,0.94
desert highway,cyber,serene,#D369CF,211,105,207,0.24,0.27,0.97
foggy mountain trail,metal/rust,focused,#0BA6FE,11,166,254,0.9,0.87,0.52
mossy cave,crystal,excited,#EA6F2D,234,111,45,0.85,0.31,0.59
crystal cavern,sand,dark,#015B3A,1,91,58,0.92,0.41,0.51
futuristic lab,sand,serene,#EEABFE,238,171,254,0.69,0.64,0.91
urban rooftop,urban,warm,#5E03B4,94,3,180,0.28,0.84,0.5
enchanted garden,metal/rust,energetic,#24FB44,36,251,68,0.18,0.6,0.95
enchanted garden,stone,energetic,#D13CD9,209,60,217,0.34,0.99,0.39
rainy night market,lab,dark,#52AF05,82,175,5,0.45,0.81,0.59
mossy cave,crystal,peaceful,#9D225E,157,34,94,0.58,0.25,0.68
dilapidated warehouse,artificial-light,dark,#03C6B4,3,198,180,0.79,0.96,0.94
mossy cave,nature,melancholic,#64B584,100,181,132,0.61,0.62,0.67
quiet meadow,wood,intense,#6ADA3A,106,218,58,0.45,0.57,0.72
cyberpunk alley,cyber,intense,#B42417,180,36,23,0.66,0.16,0.68
enchanted garden,stone,serene,#C13405,193,52,5,0.26,0.97,0.73
crystal cavern,stone,focused,#A36482,163,100,130,0.63,0.15,0.88
futuristic lab,fog/mist,intense,#083D58,8,61,88,0.77,0.5,0.85
foggy mountain trail,rain,nostalgic,#DF82ED,223,130,237,0.78,0.55,0.46
abandoned railway,grassland,serene,#07FD2A,7,253,42,0.45,0.88,0.7
neon arcade room,coast,dark,#C6B0F2,198,176,242,0.3,0.95,0.33
urban rooftop,artificial-light,dark,#EDD2C6,237,210,198,0.59,0.22,0.86
old library,lab,lonely,#D6E6EA,214,230,234,0.25,0.6,0.5
futuristic lab,nature,mysterious,#3A949B,58,148,155,0.86,0.76,0.7
old library,lab,warm,#950050,149,0,80,0.92,0.9,0.76
desert highway,metal/rust,intense,#D3DECF,211,222,207,0.66,0.15,0.94
crystal cavern,underground,lonely,#D126EF,209,38,239,0.98,0.11,0.56
abandoned railway,metal/rust,mysterious,#460ADD,70,10,221,0.64,0.74,0.52
stormy coastline,artificial-light,serene,#878F1B,135,143,27,0.77,0.52,0.36
neon arcade room,underground,warm,#521F7C,82,31,124,0.78,0.93,0.73
stormy coastline,fog/mist,melancholic,#9FD554,159,213,84,0.41,0.45,0.77
old library,stone,romantic,#847DA5,132,125,165,0.59,0.49,0.71
abandoned railway,underground,excited,#CB5894,203,88,148,0.2,0.72,0.36
enchanted garden,rain,peaceful,#B87C1E,184,124,30,0.93,0.88,0.78
sunrise beach,garden,energetic,#8AD90F,138,217,15,0.13,0.86,0.8
cyberpunk alley,fog/mist,energetic,#B10A74,177,10,116,0.23,0.92,0.88
sunrise beach,fog/mist,nostalgic,#00CD15,0,205,21,0.24,0.96,0.71
rainy night market,crystal,lonely,#05F4D4,5,244,212,0.29,0.88,0.5
dilapidated warehouse,grassland,focused,#3FF37F,63,243,127,0.64,0.35,0.89
urban rooftop,underground,serene,#6ACDAE,106,205,174,0.81,0.87,0.58
enchanted garden,coast,serene,#8AD55A,138,213,90,0.84,0.9,0.31
cyberpunk alley,coast,warm,#D58973,213,137,115,0.97,0.98,0.74
enchanted garden,concrete,excited,#FF7216,255,114,22,0.55,0.77,0.93
foggy mountain trail,sand,mysterious,#6A79B2,106,121,178,0.51,0.41,0.4
stormy coastline,temple,calm,#D3736C,211,115,108,0.85,0.79,0.93
old library,crystal,happy,#87CAAB,135,202,171,0.93,0.84,0.94
old library,temple,melancholic,#2FC8C3,47,200,195,0.16,0.55,0.34
forest shrine,coast,melancholic,#4CC781,76,199,129,0.31,0.56,0.4
enchanted garden,underground,intense,#4F1706,79,23,6,0.61,0.23,0.75
crystal cavern,lab,warm,#FF0A9B,255,10,155,0.14,0.36,0.38
dilapidated warehouse,stone,calm,#F61B74,246,27,116,0.14,1.0,0.62
mossy cave,cyber,mysterious,#F2FFF9,242,255,249,0.18,0.88,0.76
crystal cavern,metal/rust,energetic,#43D43B,67,212,59,0.42,0.11,0.7
foggy mountain trail,market,peaceful,#BED799,190,215,153,0.55,0.98,0.48
crystal cavern,coast,peaceful,#647594,100,117,148,0.47,0.31,0.37
foggy mountain trail,wood,playful,#BFD725,191,215,37,0.76,0.4,0.64
enchanted garden,grassland,happy,#BD0B2C,189,11,44,0.44,0.64,0.73
rainy night market,concrete,playful,#28E1B5,40,225,181,0.9,0.87,0.47
lantern-lit street,crystal,mysterious,#074919,7,73,25,0.21,0.99,0.67
forest shrine,nature,serene,#8DDDC8,141,221,200,0.28,1.0,0.42
neon arcade room,stone,warm,#B902AC,185,2,172,0.87,0.22,0.99
mossy cave,fog/mist,melancholic,#DE3AF8,222,58,248,0.94,0.19,0.56
enchanted garden,crystal,happy,#8B09FC,139,9,252,0.54,0.45,0.93
crystal cavern,sand,energetic,#49CE10,73,206,16,0.96,0.1,0.8
crystal cavern,concrete,peaceful,#51B212,81,178,18,0.79,0.22,0.42
