material,surface,emotion,hex,r,g,b,reflectivity,roughness
stone,porous,mysterious,#58883B,88,136,59,0.46,0.06
ceramic,glossy,bright,#FA87FB,250,135,251,0.62,0.77
aluminum,soft-touch,bright,#BDD8EB,189,216,235,0.2,0.29
glass,aged,energetic,#3368FF,51,104,255,0.74,0.43
carbon fiber,porous,professional,#BCCA00,188,202,0,0.55,0.66
sand,raw,bright,#3F7DEA,63,125,234,0.57,0.86
bronze,satin,natural,#C03C77,192,60,119,0.75,0.56
fabric,glossy,energetic,#7391C8,115,145,200,0.73,0.46
tile,polished,cold,#E2069B,226,6,155,0.79,0.7
carbon fiber,satin,calm,#C16F18,193,111,24,0.88,0.91
carbon fiber,coated,professional,#7CE97E,124,233,126,0.7,0.74
plastic,matte,soft,#BB60DB,187,96,219,0.1,0.52
concrete,polished,aggressive,#D7881D,215,136,29,0.35,0.15
metal,rough,playful,#834728,131,71,40,0.79,0.5
steel,distressed,bright,#E9F241,233,242,65,0.13,0.2
granite,smooth,playful,#B0638C,176,99,140,0.43,0.93
foam,translucent,cold,#45F096,69,240,150,0.25,0.55
brass,satin,playful,#F074EF,240,116,239,0.65,0.01
sand,reflective,cold,#D9DAD1,217,218,209,0.4,0.78
aluminum,distressed,warm,#8CC363,140,195,99,0.94,0.1
copper,rough,aggressive,#A4DEB4,164,222,180,0.89,0.54
tile,glossy,muted,#A41012,164,16,18,0.71,0.59
paper,porous,bright,#C43450,196,52,80,0.95,0.12
sand,aged,muted,#8A3772,138,55,114,0.24,0.9
granite,opaque,aggressive,#20AE2B,32,174,43,0.84,0.4
bronze,lacquered,aggressive,#10FA0F,16,250,15,0.62,0.91
metal,smooth,mysterious,#476AA0,71,106,160,0.78,0.67
paper,polished,mysterious,#EBD4E0,235,212,224,0.23,0.43
metal,smooth,bright,#C3A92F,195,169,47,0.66,0.96
brass,coated,bright,#165214,22,82,20,0.76,0.15
fabric,coated,mysterious,#D6A4CE,214,164,206,0.43,0.69
velvet,aged,luxury,#B3A78B,179,167,139,0.31,0.54
tile,distressed,soft,#E92A36,233,42,54,0.86,0.91
